24,http://p1.meituan.net/movie/aacb9ed2a6601bfe515ef0970add1715623792.jpg@160w_220h_1e_1c,哈利·波特与魔法石,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森",上映时间：2002-01-26,9.1
index,image,title,actor,time,score
25,http://p1.meituan.net/movie/53b6f0b66882a53b08896c92076515a8236400.jpg@160w_220h_1e_1c,射雕英雄传之东成西就,"主演：张国荣,林青霞,梁朝伟",上映时间：1993-02-05(中国香港),8.9
index,image,title,actor,time,score
26,http://p1.meituan.net/movie/__42975419__9836378.jpg@160w_220h_1e_1c,无间道,"主演：刘德华,梁朝伟,黄秋生",上映时间：2003-09-05,9.1
index,image,title,actor,time,score
27,http://p0.meituan.net/movie/84/3686822.jpg@160w_220h_1e_1c,楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",上映时间：1998-06-01(美国),8.9
index,image,title,actor,time,score
28,http://p0.meituan.net/movie/5cfa597a98b35ee4ee598695942641ba287922.jpg@160w_220h_1e_1c,指环王2：双塔奇兵,"主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2003-04-25,9.1
index,image,title,actor,time,score
29,http://p1.meituan.net/movie/75bd869f7224871c5ebf781720cf456e117189.jpg@160w_220h_1e_1c,蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特",上映时间：2008-07-18(美国),9.3
index,image,title,actor,time,score
30,http://p0.meituan.net/movie/4/9978669.jpg@160w_220h_1e_1c,教父2,"主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",上映时间：1974-12-12(美国),9.0
index,image,title,actor,time,score
31,http://p0.meituan.net/movie/53/1819401.jpg@160w_220h_1e_1c,活着,"主演：葛优,巩俐,牛犇",上映时间：1994-05-18(法国),9.0
index,image,title,actor,time,score
32,http://p0.meituan.net/movie/11/295014.jpg@160w_220h_1e_1c,天堂电影院,"主演：菲利浦·诺瓦雷,塞吉·卡斯特里图,蒂兹亚娜·罗达托",上映时间：1988-11-17(意大利),9.2
index,image,title,actor,time,score
33,http://p1.meituan.net/movie/4592eef6b6dffcd1d950f55f41ab098f239816.jpg@160w_220h_1e_1c,机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",上映时间：2008-06-27(美国),9.3
index,image,title,actor,time,score
34,http://p0.meituan.net/movie/32/595031.jpg@160w_220h_1e_1c,拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",上映时间：1998-07-24(美国),8.9
index,image,title,actor,time,score
35,http://p0.meituan.net/movie/7787c10ad5e95b03cf83ef9473500d8e282796.jpg@160w_220h_1e_1c,忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",上映时间：2010-03-12(英国),9.3
index,image,title,actor,time,score
36,http://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@160w_220h_1e_1c,哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",上映时间：2004-11-20(日本),9.0
index,image,title,actor,time,score
37,http://p0.meituan.net/movie/d08f5d2b7ba006a6e4058e62f916736725217.jpg@160w_220h_1e_1c,东邪西毒,"主演：张国荣,林青霞,梁朝伟",上映时间：1994-09-17,8.9
index,image,title,actor,time,score
38,http://p1.meituan.net/movie/4faf9749d2014b7cc94331a38d848f99132123.jpg@160w_220h_1e_1c,盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",上映时间：2010-09-01,9.2
index,image,title,actor,time,score
39,http://p1.meituan.net/movie/d5e5e53ef9bbd98223e83df261b51b84103223.jpg@160w_220h_1e_1c,疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",上映时间：2013-04-20,9.5
index,image,title,actor,time,score
40,http://p1.meituan.net/movie/c5e76795bf7a78b12a2ffabb4a0c5c11112921.jpg@160w_220h_1e_1c,搏击俱乐部,"主演：爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",上映时间：1999-10-15(美国),8.8
index,image,title,actor,time,score
41,http://p0.meituan.net/movie/9/1476994.jpg@160w_220h_1e_1c,幽灵公主,"主演：松田洋治,石田百合子,田中裕子",上映时间：1997-07-12(日本),8.9
index,image,title,actor,time,score
42,http://p0.meituan.net/movie/54/868271.jpg@160w_220h_1e_1c,阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",上映时间：2010-01-04,9.0
index,image,title,actor,time,score
43,http://p0.meituan.net/movie/57/5832292.jpg@160w_220h_1e_1c,V字仇杀队,"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",上映时间：2006-03-17(美国),8.8
index,image,title,actor,time,score
44,http://p0.meituan.net/movie/77/5392065.jpg@160w_220h_1e_1c,风之谷,"主演：岛本须美,永井一郎,坂本千夏",上映时间：1992,8.9
index,image,title,actor,time,score
45,http://p0.meituan.net/movie/7cd18fcf0b4f9180500124711e81492994030.jpg@160w_220h_1e_1c,放牛班的春天,"主演：杰拉尔·朱诺,尚-巴堤·莫里耶,玛丽·布奈尔",上映时间：2004-10-16,8.9
index,image,title,actor,time,score
